CAD,Date
2.4915,28/04/2020
2.4978,27/04/2020
2.5007,24/04/2020
2.5144,23/04/2020
2.5041,22/04/2020
2.49,21/04/2020
2.5398,20/04/2020
2.5475,17/04/2020
2.5485,16/04/2020
2.5774,14/04/2020
2.5684,7/4/2020
2.5665,6/4/2020
2.5651,3/4/2020
2.5691,2/4/2020
2.4976,1/4/2020
2.5002,31/03/2020
2.5322,30/03/2020
2.559,27/03/2020
2.5571,26/03/2020
2.5325,25/03/2020
2.5296,24/03/2020
2.555,23/03/2020
2.5284,20/03/2020
2.5422,19/03/2020
2.6626,18/03/2020
2.7274,17/03/2020
2.6802,16/03/2020
2.6452,13/03/2020
2.6314,12/3/2020
2.567,9/3/2020
2.6032,6/3/2020
2.5825,5/3/2020
2.5908,4/3/2020
2.5889,3/3/2020
2.5796,28/02/2020
2.5739,27/02/2020
2.587,26/02/2020
2.5804,25/02/2020
2.5853,24/02/2020
2.5821,21/02/2020
2.5884,20/02/2020
2.5883,19/02/2020
2.5769,18/02/2020
2.5908,17/02/2020
2.5913,14/02/2020
2.586,13/02/2020
2.5801,12/2/2020
2.5712,11/2/2020
2.5735,10/2/2020
2.5747,7/2/2020
2.5885,6/2/2020
2.6002,5/2/2020
2.5957,4/2/2020
2.6022,3/2/2020
2.6073,31/01/2020
2.6094,30/01/2020
2.6238,29/01/2020
2.6193,28/01/2020
2.6225,27/01/2020
2.6323,24/01/2020
2.6275,23/01/2020
2.6429,22/01/2020
2.6459,21/01/2020
2.6447,20/01/2020
2.6493,17/01/2020
2.6507,16/01/2020
2.648,15/01/2020
2.655,14/01/2020
2.6574,13/01/2020
2.6565,10/1/2020
2.6587,9/1/2020
2.663,8/1/2020
2.671,7/1/2020
2.6791,6/1/2020
2.6696,3/1/2020
2.656,2/1/2020
2.6535,31/12/2019
2.6487,30/12/2019
2.6467,27/12/2019
2.6397,26/12/2019
2.6335,24/12/2019
2.6395,23/12/2019
2.6462,20/12/2019
2.6617,19/12/2019
2.6618,18/12/2019
2.6511,17/12/2019
2.6638,16/12/2019
2.6403,13/12/2019
2.6425,12/12/2019
2.6272,11/12/2019
2.6161,10/12/2019
2.6182,9/12/2019
2.6287,6/12/2019
2.6303,5/12/2019
2.6154,4/12/2019
2.6172,3/12/2019
2.6146,2/12/2019
2.6151,29/11/2019
2.6118,28/11/2019
2.6155,27/11/2019
2.6014,26/11/2019
2.6019,25/11/2019
2.6077,22/11/2019
2.5956,21/11/2019
2.607,20/11/2019
2.6168,19/11/2019
2.619,18/11/2019
2.626,15/11/2019
2.6304,14/11/2019
2.6355,13/11/2019
2.6496,12/11/2019
2.6457,11/11/2019
2.6485,8/11/2019
2.6484,7/11/2019
2.6501,6/11/2019
2.6669,5/11/2019
2.6771,4/11/2019
2.675,1/11/2019
2.6797,31/10/2019
2.6966,30/10/2019
2.705,29/10/2019
2.7013,28/10/2019
2.7089,25/10/2019
2.6929,24/10/2019
2.7011,23/10/2019
2.7037,22/10/2019
2.6895,18/10/2019
2.6854,17/10/2019
2.6747,16/10/2019
2.6562,15/10/2019
2.6438,11/10/2019
2.6317,10/10/2019
2.6227,7/10/2019
2.612,4/10/2019
2.6211,3/10/2019
2.6298,2/10/2019
2.6267,27/09/2019
2.6541,26/09/2019
2.6388,25/09/2019
2.6447,24/09/2019
2.6451,23/09/2019
2.6481,20/09/2019
2.6506,19/09/2019
2.6705,18/09/2019
2.6701,16/09/2019
2.6675,13/09/2019
2.6853,12/9/2019
2.6953,11/9/2019
2.6853,10/9/2019
2.6809,9/9/2019
2.664,6/9/2019
2.66,5/9/2019
2.6477,4/9/2019
2.6552,3/9/2019
2.6533,2/9/2019
2.6566,30/08/2019
2.6501,29/08/2019
2.6491,28/08/2019
2.6605,27/08/2019
2.6446,26/08/2019
2.6365,23/08/2019
2.6512,22/08/2019
2.6537,21/08/2019
2.6434,20/08/2019
2.6748,19/08/2019
2.6618,16/08/2019
2.6443,15/08/2019
2.6308,14/08/2019
2.6355,13/08/2019
2.6327,12/8/2019
2.6311,9/8/2019
2.6198,8/8/2019
2.6234,7/8/2019
2.6438,6/8/2019
2.6412,5/8/2019
2.6533,2/8/2019
2.6651,1/8/2019
2.6616,31/07/2019
2.6575,30/07/2019
2.6762,29/07/2019
2.6754,26/07/2019
2.6825,25/07/2019
2.6809,24/07/2019
2.6924,23/07/2019
2.7084,22/07/2019
2.713,19/07/2019
2.7128,18/07/2019
2.7119,17/07/2019
2.7141,16/07/2019
2.7153,15/07/2019
2.7257,12/7/2019
2.7177,11/7/2019
2.7222,10/7/2019
2.7177,9/7/2019
2.7355,8/7/2019
2.7264,5/7/2019
2.7298,4/7/2019
2.7264,3/7/2019
2.7254,2/7/2019
2.7276,1/7/2019
2.7225,28/06/2019
2.7277,27/06/2019
2.7294,26/06/2019
2.7336,25/06/2019
2.7331,24/06/2019
2.7264,21/06/2019
2.7131,20/06/2019
2.6975,19/06/2019
2.6909,18/06/2019
2.6912,17/06/2019
2.6987,14/06/2019
2.6994,13/06/2019
2.6937,12/6/2019
2.7017,11/6/2019
2.7006,10/6/2019
2.6985,7/6/2019
2.6855,6/6/2019
2.6978,5/6/2019
2.6905,4/6/2019
2.6916,3/6/2019
2.6842,31/05/2019
2.6832,30/05/2019
2.6778,29/05/2019
2.6828,28/05/2019
2.6813,24/05/2019
2.6848,23/05/2019
2.6969,22/05/2019
2.6818,21/05/2019
2.6583,20/05/2019
2.6556,17/05/2019
2.6584,16/05/2019
2.6506,15/05/2019
2.6577,14/05/2019
2.6561,13/05/2019
2.6507,10/5/2019
2.6622,8/5/2019
2.6645,7/5/2019
2.6656,6/5/2019
2.6728,3/5/2019
2.6786,2/5/2019
2.6775,1/5/2019
2.6824,30/04/2019
2.6864,29/04/2019
2.6876,25/04/2019
2.6867,24/04/2019
2.6866,23/04/2019
2.684,18/04/2019
2.6837,17/04/2019
2.6571,16/04/2019
2.6731,15/04/2019
2.6802,12/4/2019
2.6824,11/4/2019
2.6855,10/4/2019
2.6763,8/4/2019
2.6866,5/4/2019
2.6975,4/4/2019
2.7057,3/4/2019
2.7206,2/4/2019
2.7143,1/4/2019
2.7052,29/03/2019
2.7073,28/03/2019
2.7094,27/03/2019
2.6998,26/03/2019
2.6982,25/03/2019
2.7056,20/03/2019
2.7122,19/03/2019
